,Title,published_date,Views,Likes,Comments,Month
251,BABY BOY OR BABY GIRL ?,2021-12-19,1257289,130060,1257289,Dec
252,WE HAD TO STAY BACK AT THE HOSPITAL ..,2021-12-16,1123661,98813,1123661,Dec
253,HER WATER BROKE | WELCOME TO THE WORLD BABY,2021-12-15,2167490,170965,2167490,Dec
254,ITS A SPECIAL SUNGLASSES WITH A CAMERA 📷,2021-12-14,334438,32512,334438,Dec
255,IS THIS THE BEST MACBOOK FOR TODAYS YOUTUBERS ? 2022,2021-12-13,241319,26548,241319,Dec
256,Macbook pro m1 max worth it ?,2021-12-12,259516,23069,259516,Dec
257,MAXED OUT MY CARD FOR MACBOOK PRO M1 MAX !!,2021-12-11,496680,52760,496680,Dec
258,CHALO KABHI THO CREDIT MILA !! 😅,2021-12-10,246777,29678,246777,Dec
259,LAST MONTH MAI AYSE JHATKE LAGTE REHETE HAI !!,2021-12-09,374533,33762,374533,Dec
260,THEY THOUGHT I WAS DRUNK DRIVING AS I ALMOST WENT INTO NO-ENTRY,2021-12-08,312365,31038,312365,Dec
261,ABB SAB JALDI JALDI HONA CHAHIYE !!,2021-12-07,246601,25178,246601,Dec
262,YEH CHEEZ KO SERIOUSLY LENA BOHAT KUSH RAHOGEY !!,2021-12-06,262506,28275,262506,Dec
263,PAISAA WASOOLI KA SPAM CALL OR REAL ?,2021-12-05,247493,26439,247493,Dec
264,CHALO DOST NE TICKET TOH BOOK KARLI,2021-12-04,273610,30079,273610,Dec
265,Snowfall mein masti toh banta hain boss! #shorts,2021-12-03,158085,14218,158085,Dec
266,MUMBAI WALA PAAN AND LOCKDOWN !!,2021-12-02,326924,30242,326924,Dec
267,FOR ALL THE SONS..YOUR FATHER IS YOUR HERO,2021-12-01,228761,26173,228761,Dec
268,ZABARDAST SNOW FALL !!,2021-11-30,293073,33335,293073,Nov
269,OUR MOMS HAVE PLANNED SOMETHING FOR US ..,2021-11-29,375052,37591,375052,Nov
270,FAKE HAI TU BUT EKDUM ORIGINAL BHI !!,2021-11-28,248890,25951,248890,Nov
271,Thoda darr lagne laga hai but himmat nahi tooti..,2021-11-27,251395,28569,251395,Nov
272,NOT FAKE GUCCI JACKET #Shorts,2021-11-27,382123,33207,382123,Nov
273,YEH THO HONA HI THAA !!,2021-11-26,270305,28238,270305,Nov
274,WE DID A ROAD TRIP TO MEET MY QATAR AIRWAYS FRIENDS,2021-11-25,258858,28644,258858,Nov
